STATE,zipcode,N1,A00100,A19700,N19700,generosity_index,participation_rate
AL,35016,7590.0,487127.0,5087.0,330.0,0.010442861923071397,0.043478260869565216
AL,35019,1010.0,63772.0,731.0,40.0,0.011462710907608354,0.039603960396039604
AL,35020,8650.0,284201.0,2261.0,260.0,0.007955637031537538,0.03005780346820809
AL,35022,10820.0,721850.0,15555.0,1270.0,0.021548798226778416,0.11737523105360444
AL,35023,10330.0,575399.0,5575.0,500.0,0.009688928899772157,0.0484027105517909
AL,35031,3100.0,166536.0,1065.0,70.0,0.006395013690733535,0.02258064516129032
AL,35033,1530.0,119160.0,1201.0,70.0,0.010078885532057737,0.0457516339869281
AL,35034,1360.0,63816.0,521.0,40.0,0.008164096778237432,0.029411764705882353
AL,35035,560.0,38553.0,398.0,20.0,0.010323450833916946,0.03571428571428571
AL,35040,8990.0,575339.0,6718.0,540.0,0.011676594147102839,0.060066740823136816
AL,35042,2200.0,132719.0,1615.0,110.0,0.01216856667093634,0.05
AL,35043,6620.0,673021.0,12698.0,750.0,0.01886716759209594,0.11329305135951662
AL,35044,3140.0,158080.0,2656.0,180.0,0.01680161943319838,0.05732484076433121
AL,35045,6040.0,361427.0,3161.0,240.0,0.008745887827970793,0.039735099337748346
AL,35046,2410.0,175081.0,2028.0,120.0,0.011583210057059303,0.04979253112033195
AL,35049,1700.0,103294.0,914.0,90.0,0.008848529440238543,0.052941176470588235
AL,35051,3620.0,313587.0,7459.0,280.0,0.023786062559991328,0.07734806629834254
AL,35053,1300.0,119208.0,1886.0,110.0,0.01582108583316556,0.08461538461538462
AL,35054,2110.0,188608.0,6119.0,310.0,0.03244295045809298,0.14691943127962084
AL,35055,8720.0,621877.0,9387.0,430.0,0.015094624821307107,0.04931192660550459
AL,35057,5800.0,454851.0,4610.0,290.0,0.010135187127213088,0.05
AL,35058,4670.0,333080.0,3922.0,200.0,0.01177494896121052,0.042826552462526764
AL,35061,550.0,22620.0,274.0,30.0,0.0121131741821397,0.05454545454545454
AL,35062,3350.0,230933.0,2443.0,140.0,0.010578825893224442,0.041791044776119404
AL,35063,1250.0,68391.0,329.0,30.0,0.004810574490795572,0.024
AL,35064,3870.0,153386.0,2199.0,220.0,0.014336380112917737,0.056847545219638244
AL,35068,4110.0,232127.0,2868.0,310.0,0.01235530550086806,0.07542579075425791
AL,35071,7820.0,603948.0,10300.0,700.0,0.017054448396219543,0.08951406649616368
AL,35072,1800.0,95052.0,1770.0,120.0,0.01862138618861255,0.06666666666666667
AL,35077,5580.0,322309.0,2919.0,150.0,0.009056526500966463,0.026881720430107527
AL,35078,1020.0,69853.0,2177.0,140.0,0.031165447439623208,0.13725490196078433
AL,35079,3850.0,261201.0,2014.0,130.0,0.007710537095952925,0.033766233766233764
AL,35080,9010.0,808105.0,12077.0,890.0,0.01494484008884984,0.09877913429522753
AL,35083,1320.0,78722.0,675.0,50.0,0.00857447727445949,0.03787878787878788
AL,35085,3610.0,209039.0,1268.0,100.0,0.006065853740211157,0.027700831024930747
AL,35089,740.0,29820.0,646.0,40.0,0.021663313212608986,0.05405405405405406
AL,35091,1510.0,132498.0,1678.0,120.0,0.012664342103277031,0.07947019867549669
AL,35094,6740.0,483232.0,8337.0,490.0,0.017252582610423152,0.07270029673590504
AL,35096,4110.0,261706.0,5170.0,360.0,0.019754992243204206,0.08759124087591241
AL,35097,740.0,45699.0,347.0,20.0,0.007593163964200529,0.02702702702702703
AL,35111,7960.0,595406.0,9609.0,800.0,0.01613856763284213,0.10050251256281408
AL,35114,3280.0,261146.0,4241.0,290.0,0.016239957724797624,0.08841463414634146
AL,35115,6010.0,326187.0,3306.0,270.0,0.010135290492876786,0.04492512479201331
AL,35116,2190.0,180679.0,2246.0,160.0,0.012430885714443849,0.0730593607305936
AL,35117,2880.0,221099.0,3894.0,240.0,0.01761201995486185,0.08333333333333333
AL,35118,1300.0,71072.0,429.0,40.0,0.0060361323728050425,0.03076923076923077
AL,35120,7470.0,492734.0,5040.0,390.0,0.010228642634768454,0.05220883534136546
AL,35121,6240.0,434754.0,4728.0,260.0,0.010875115582605335,0.041666666666666664
AL,35124,12300.0,1268007.0,24053.0,1330.0,0.018969138182991105,0.108130081300813
AL,35125,4630.0,271110.0,3493.0,260.0,0.012884069197004905,0.056155507559395246
AL,35126,9660.0,563806.0,6875.0,630.0,0.012193910671401156,0.06521739130434782
AL,35127,4610.0,264877.0,5101.0,460.0,0.019257995220423065,0.09978308026030369
AL,35128,4660.0,400140.0,6454.0,360.0,0.016129354725845955,0.07725321888412018
AL,35130,1210.0,68240.0,324.0,30.0,0.0047479484173505275,0.024793388429752067
AL,35133,1680.0,106722.0,857.0,60.0,0.008030209328910628,0.03571428571428571
AL,35135,870.0,63255.0,558.0,60.0,0.008821437040550155,0.06896551724137931
AL,35143,1410.0,108373.0,1143.0,80.0,0.01054690744004503,0.05673758865248227
AL,35146,5500.0,443269.0,7474.0,450.0,0.016861093376708047,0.08181818181818182
AL,35147,2430.0,204600.0,2534.0,180.0,0.012385141739980449,0.07407407407407407
AL,35148,1060.0,59916.0,655.0,30.0,0.010931971426663996,0.02830188679245283
AL,35150,6960.0,353386.0,4767.0,280.0,0.013489498735094203,0.040229885057471264
AL,35151,3060.0,192602.0,1429.0,110.0,0.007419445280942046,0.03594771241830065
AL,35160,9520.0,482851.0,5711.0,380.0,0.011827665263197135,0.03991596638655462
AL,35171,1440.0,92395.0,1017.0,60.0,0.011007089128199577,0.041666666666666664
AL,35172,1180.0,63759.0,188.0,30.0,0.0029486033344312177,0.025423728813559324
AL,35173,14290.0,1527784.0,37657.0,2040.0,0.02464811779675661,0.14275717284814557
AL,35175,2280.0,166308.0,1932.0,120.0,0.011616999783534166,0.05263157894736842
AL,35176,360.0,19830.0,467.0,30.0,0.023550176500252144,0.08333333333333333
AL,35178,1670.0,97865.0,2602.0,190.0,0.026587646247381597,0.11377245508982035
AL,35179,4130.0,273828.0,3275.0,180.0,0.011960062520998583,0.043583535108958835
AL,35180,5860.0,421995.0,4444.0,280.0,0.01053093046126139,0.04778156996587031
AL,35184,2210.0,127472.0,719.0,60.0,0.005640454374293963,0.027149321266968326
AL,35186,2280.0,213295.0,3642.0,200.0,0.017074943153847957,0.08771929824561403
AL,35188,1200.0,79692.0,459.0,40.0,0.005759674747778949,0.03333333333333333
AL,35203,1390.0,247181.0,4904.0,180.0,0.019839712599269362,0.12949640287769784
AL,35204,3190.0,97701.0,639.0,70.0,0.0065403629440845025,0.0219435736677116
AL,35205,7200.0,555539.0,9542.0,450.0,0.017176111848133075,0.0625
AL,35206,6230.0,240075.0,1795.0,190.0,0.007476830157242528,0.030497592295345103
AL,35207,2930.0,93041.0,779.0,70.0,0.008372652916456187,0.023890784982935155
AL,35208,5160.0,173578.0,1693.0,160.0,0.009753540195186025,0.031007751937984496
AL,35209,11460.0,1627295.0,47482.0,1880.0,0.02917848331126194,0.16404886561954624
AL,35210,6860.0,529400.0,8766.0,600.0,0.01655836796373253,0.08746355685131195
AL,35211,9720.0,367934.0,4204.0,370.0,0.011425962264971435,0.03806584362139918
AL,35212,4150.0,211271.0,2130.0,210.0,0.01008183801846917,0.05060240963855422
AL,35213,7030.0,2626099.0,106201.0,2160.0,0.04044059268138787,0.30725462304409673
AL,35214,7980.0,359392.0,4767.0,450.0,0.013264068204077998,0.05639097744360902
AL,35215,19630.0,767260.0,8535.0,820.0,0.011123999687198603,0.041772796739684155
AL,35216,15360.0,1885020.0,57226.0,2040.0,0.030358298585691397,0.1328125
AL,35217,4870.0,182783.0,1298.0,130.0,0.007101316862071418,0.026694045174537988
AL,35218,2330.0,69108.0,403.0,50.0,0.005831452219714071,0.02145922746781116
AL,35221,1590.0,51646.0,266.0,40.0,0.005150447275684467,0.025157232704402517
AL,35222,3930.0,504820.0,11290.0,560.0,0.02236440711540747,0.14249363867684478
AL,35223,5570.0,2406401.0,93690.0,1850.0,0.03893366068248808,0.33213644524236985
AL,35224,2050.0,71011.0,376.0,50.0,0.005294954302854487,0.024390243902439025
AL,35226,17140.0,2218528.0,47798.0,2670.0,0.021544916268805264,0.1557759626604434
AL,35228,4010.0,134855.0,1307.0,160.0,0.009691891290645509,0.0399002493765586
AL,35233,1300.0,106957.0,949.0,80.0,0.00887272455285769,0.06153846153846154
AL,35234,1630.0,56245.0,387.0,40.0,0.006880611609920882,0.024539877300613498
AL,35235,9150.0,440260.0,5287.0,530.0,0.012008812974151638,0.05792349726775956
AL,35242,26740.0,4743141.0,147792.0,5090.0,0.03115909900211695,0.19035153328347046
AL,35243,10140.0,1931567.0,63433.0,2080.0,0.03284017587792709,0.20512820512820512
AL,35244,17890.0,2179384.0,45441.0,2730.0,0.020850387081854323,0.15259921743991056
AL,35401,9350.0,396627.0,6009.0,310.0,0.015150254521250444,0.033155080213903745
AL,35404,7850.0,378786.0,4925.0,270.0,0.013002064490239872,0.034394904458598725
AL,35405,18780.0,1090289.0,12607.0,1080.0,0.011562989262479948,0.05750798722044728
AL,35406,7440.0,1265500.0,38662.0,1430.0,0.03055077044646385,0.1922043010752688
AL,35442,1730.0,73754.0,1118.0,70.0,0.01515849987797272,0.04046242774566474
AL,35444,1720.0,110336.0,306.0,40.0,0.00277334686774942,0.023255813953488372
AL,35446,880.0,51004.0,500.0,30.0,0.00980315269390636,0.03409090909090909
AL,35447,1160.0,59222.0,581.0,40.0,0.00981054337914964,0.034482758620689655
AL,35452,1650.0,109335.0,920.0,60.0,0.008414505876434811,0.03636363636363636
AL,35453,5020.0,291773.0,2459.0,190.0,0.00842778461338095,0.037848605577689244
AL,35456,1830.0,101507.0,1044.0,70.0,0.010285004975026353,0.03825136612021858
AL,35462,1770.0,70842.0,890.0,80.0,0.012563168741706897,0.04519774011299435
AL,35463,820.0,49174.0,428.0,40.0,0.00870378655386993,0.04878048780487805
AL,35466,2210.0,140728.0,1428.0,100.0,0.010147234381217668,0.04524886877828054
AL,35470,1670.0,94592.0,1421.0,90.0,0.015022412043301759,0.05389221556886228
AL,35473,7480.0,529078.0,6375.0,460.0,0.012049263057620994,0.06149732620320856
AL,35474,3300.0,193977.0,1803.0,150.0,0.009294916407615336,0.045454545454545456
AL,35475,7750.0,771722.0,12533.0,700.0,0.01624030415097665,0.09032258064516129
AL,35476,3200.0,154192.0,1357.0,110.0,0.008800715990453461,0.034375
AL,35480,750.0,51932.0,762.0,50.0,0.014673033967495957,0.06666666666666667
AL,35490,1990.0,133341.0,914.0,70.0,0.00685460586016304,0.035175879396984924
AL,35501,3650.0,193925.0,2632.0,120.0,0.01357225731597267,0.03287671232876712
AL,35503,3450.0,220866.0,1899.0,110.0,0.00859797343185461,0.03188405797101449
AL,35504,5510.0,449288.0,5468.0,310.0,0.012170367336763946,0.056261343012704176
AL,35540,950.0,57752.0,628.0,30.0,0.010874082282864662,0.031578947368421054
AL,35541,1470.0,122683.0,1879.0,110.0,0.015315895437835724,0.07482993197278912
AL,35546,1570.0,95149.0,334.0,30.0,0.0035102838705609097,0.01910828025477707
AL,35549,1370.0,65642.0,287.0,20.0,0.004372200725145486,0.014598540145985401
AL,35550,1890.0,101832.0,622.0,40.0,0.006108099615052243,0.021164021164021163
AL,35553,1690.0,107906.0,1242.0,50.0,0.011510017978611013,0.029585798816568046
AL,35555,3550.0,198113.0,2662.0,110.0,0.01343677598138436,0.030985915492957747
AL,35563,1630.0,89921.0,579.0,40.0,0.006438985331568821,0.024539877300613498
AL,35565,4760.0,275252.0,1514.0,100.0,0.00550041416592795,0.02100840336134454
AL,35570,4050.0,219582.0,2093.0,120.0,0.009531746682332795,0.02962962962962963
AL,35576,1130.0,70161.0,509.0,40.0,0.007254742663302975,0.035398230088495575
AL,35580,1540.0,89310.0,290.0,30.0,0.003247116784234688,0.01948051948051948
AL,35581,1940.0,108660.0,507.0,40.0,0.004665930425179459,0.020618556701030927
AL,35582,1590.0,103770.0,1268.0,60.0,0.012219331213260095,0.03773584905660377
AL,35586,1530.0,82232.0,487.0,30.0,0.005922268703181243,0.0196078431372549
AL,35592,1690.0,96543.0,438.0,30.0,0.004536838507193686,0.01775147928994083
AL,35594,2980.0,201239.0,2104.0,90.0,0.010455229851072605,0.030201342281879196
AL,35601,13570.0,767773.0,10730.0,460.0,0.013975484941512661,0.03389830508474576
AL,35603,14780.0,1210007.0,20948.0,1060.0,0.017312296540433238,0.07171853856562922
AL,35611,11090.0,677191.0,5925.0,460.0,0.00874937794507015,0.04147880973850315
AL,35613,12060.0,1232264.0,18751.0,1160.0,0.015216706809579766,0.09618573797678276
AL,35614,3290.0,198789.0,1603.0,90.0,0.008063826469271439,0.02735562310030395
AL,35616,1400.0,78972.0,238.0,30.0,0.0030137263840348478,0.02142857142857143
AL,35619,2210.0,151261.0,948.0,60.0,0.006267312790474743,0.027149321266968326
AL,35620,4220.0,269180.0,2317.0,160.0,0.008607623151794338,0.037914691943127965
AL,35621,1220.0,82913.0,913.0,50.0,0.011011542218952395,0.040983606557377046
AL,35622,2850.0,168020.0,1056.0,80.0,0.006284966075467207,0.028070175438596492
AL,35630,12660.0,769173.0,11492.0,540.0,0.014940722048225821,0.04265402843601896
AL,35633,8780.0,588009.0,5829.0,390.0,0.009913113574792222,0.04441913439635535
AL,35634,4700.0,477988.0,8077.0,370.0,0.016897913755157035,0.07872340425531915
AL,35640,11370.0,925217.0,13061.0,640.0,0.014116688301230954,0.056288478452066845
AL,35643,1310.0,68008.0,649.0,40.0,0.009542994941771556,0.030534351145038167
AL,35645,6170.0,525577.0,5982.0,320.0,0.011381776599813157,0.05186385737439222
AL,35646,1780.0,103846.0,950.0,70.0,0.009148161700980298,0.03932584269662921
AL,35648,1620.0,108539.0,436.0,30.0,0.004016989284957481,0.018518518518518517
AL,35650,5750.0,355431.0,3126.0,160.0,0.008794955983017801,0.02782608695652174
AL,35652,3760.0,274008.0,2361.0,180.0,0.008616536743452747,0.047872340425531915
AL,35653,4460.0,238375.0,1890.0,110.0,0.007928683796539066,0.02466367713004484
AL,35654,3140.0,158356.0,562.0,40.0,0.0035489656217636213,0.012738853503184714
AL,35660,3810.0,184193.0,1402.0,120.0,0.0076115813304522975,0.031496062992125984
AL,35661,8260.0,677672.0,12152.0,470.0,0.01793197889244354,0.05690072639225181
AL,35670,3330.0,223068.0,2092.0,140.0,0.009378306166729428,0.042042042042042045
AL,35671,1070.0,64427.0,953.0,50.0,0.014791935058283018,0.04672897196261682
AL,35672,2450.0,150249.0,910.0,80.0,0.006056612689601927,0.0326530612244898
AL,35673,3470.0,224503.0,1750.0,120.0,0.007794996057959136,0.0345821325648415
AL,35674,8400.0,573341.0,6176.0,350.0,0.010771948979752016,0.041666666666666664
AL,35739,2450.0,160794.0,1397.0,90.0,0.008688135129420252,0.036734693877551024
AL,35741,1790.0,259772.0,5119.0,230.0,0.019705741958332693,0.12849162011173185
AL,35747,2640.0,198194.0,1332.0,90.0,0.006720687810932722,0.03409090909090909
AL,35748,3690.0,443505.0,7465.0,410.0,0.016831828277020552,0.1111111111111111
AL,35749,13580.0,1138123.0,17298.0,1240.0,0.015198708751163099,0.09131075110456553
AL,35750,6840.0,447082.0,3796.0,300.0,0.008490612460354029,0.043859649122807015
AL,35754,2350.0,155302.0,1380.0,90.0,0.00888591260898121,0.03829787234042553
AL,35756,12560.0,1367241.0,22401.0,1470.0,0.016384090295712313,0.11703821656050956
AL,35757,9590.0,867393.0,15705.0,990.0,0.018105979642445813,0.1032325338894682
AL,35758,22290.0,2489890.0,47642.0,2340.0,0.019134178618332536,0.10497981157469717
AL,35759,6140.0,532256.0,7949.0,630.0,0.014934542776408344,0.10260586319218241
AL,35760,2210.0,148877.0,1116.0,70.0,0.007496120958912391,0.03167420814479638
AL,35761,6190.0,494026.0,5744.0,400.0,0.011626918421297665,0.06462035541195477
AL,35763,10350.0,1375287.0,21452.0,1310.0,0.01559819877596458,0.12657004830917876
AL,35765,1470.0,80771.0,249.0,20.0,0.003082789615084622,0.013605442176870748
AL,35768,4780.0,278711.0,1608.0,110.0,0.005769417066423643,0.02301255230125523
AL,35769,4520.0,398742.0,5537.0,250.0,0.013886172010974515,0.05530973451327434
AL,35771,1490.0,81068.0,265.0,30.0,0.003268860709527804,0.020134228187919462
AL,35772,1780.0,93317.0,167.0,20.0,0.0017895988940921804,0.011235955056179775
AL,35773,6460.0,435935.0,4835.0,350.0,0.011091103031415235,0.05417956656346749
AL,35776,1460.0,84608.0,290.0,30.0,0.003427571860816944,0.02054794520547945
AL,35801,10570.0,1657111.0,37606.0,1490.0,0.022693712129121104,0.14096499526963102
AL,35802,11540.0,1397906.0,29628.0,1300.0,0.0211945581462559,0.11265164644714037
AL,35803,14610.0,1376022.0,19388.0,1170.0,0.014089891004649635,0.08008213552361396
AL,35805,7640.0,292858.0,1087.0,110.0,0.0037116964535713554,0.014397905759162303
AL,35806,14030.0,1261944.0,26632.0,1360.0,0.021103947560272087,0.09693513898788311
AL,35808,390.0,40837.0,355.0,30.0,0.00869309694639665,0.07692307692307693
AL,35810,13380.0,562193.0,6606.0,490.0,0.011750413114357525,0.03662182361733931
AL,35811,13810.0,1124067.0,16390.0,990.0,0.014580981382782344,0.07168718320057929
AL,35816,5650.0,207925.0,1833.0,120.0,0.00881567873031141,0.021238938053097345
AL,35824,5120.0,501986.0,7880.0,630.0,0.01569764893841661,0.123046875
AL,35901,7410.0,540745.0,11405.0,460.0,0.02109127222628041,0.0620782726045884
AL,35903,7080.0,359526.0,4079.0,280.0,0.011345493789044463,0.03954802259887006
AL,35904,5240.0,242893.0,1440.0,140.0,0.0059285364337383125,0.026717557251908396
AL,35905,2740.0,169017.0,1502.0,120.0,0.008886680038102676,0.043795620437956206
AL,35906,4590.0,304730.0,5604.0,270.0,0.01839005020838119,0.058823529411764705
AL,35907,4120.0,329823.0,3497.0,260.0,0.010602656576406133,0.06310679611650485
AL,35950,8920.0,467209.0,3761.0,250.0,0.008049930545002344,0.028026905829596414
AL,35951,5430.0,290043.0,2626.0,150.0,0.009053829949352337,0.027624309392265192
AL,35952,2880.0,155846.0,1048.0,70.0,0.006724587092386073,0.024305555555555556
AL,35953,3160.0,210594.0,2221.0,150.0,0.010546359345470432,0.04746835443037975
AL,35954,4800.0,232576.0,1730.0,150.0,0.0074384287286736375,0.03125
AL,35956,3780.0,222505.0,1523.0,100.0,0.006844790004718995,0.026455026455026454
AL,35957,6570.0,341613.0,2763.0,180.0,0.00808809969175646,0.0273972602739726
AL,35958,1210.0,74001.0,373.0,20.0,0.005040472426048296,0.01652892561983471
AL,35959,1980.0,116207.0,1565.0,130.0,0.013467347061708847,0.06565656565656566
AL,35960,4030.0,252722.0,4127.0,200.0,0.016330196817055897,0.04962779156327544
AL,35961,2290.0,109767.0,610.0,40.0,0.0055572257600189495,0.017467248908296942
AL,35962,2860.0,138208.0,990.0,40.0,0.007163116462144015,0.013986013986013986
AL,35966,1350.0,77894.0,488.0,30.0,0.0062649241276606675,0.022222222222222223
AL,35967,6730.0,377099.0,3920.0,190.0,0.010395148223676012,0.02823179791976226
AL,35968,2280.0,151028.0,1744.0,110.0,0.01154752761077416,0.04824561403508772
AL,35971,1810.0,95183.0,564.0,40.0,0.00592542786001702,0.022099447513812154
AL,35973,1050.0,56872.0,364.0,40.0,0.0064003376002250666,0.0380952380952381
AL,35976,7560.0,676994.0,15965.0,590.0,0.02358218832072367,0.07804232804232804
AL,35978,2130.0,136843.0,1534.0,50.0,0.011209926704325395,0.023474178403755867
AL,35980,2020.0,100752.0,426.0,40.0,0.004228203906622201,0.019801980198019802
AL,35983,1570.0,96655.0,1165.0,100.0,0.012053178831927991,0.06369426751592357
AL,35984,900.0,62316.0,923.0,60.0,0.014811605366198088,0.06666666666666667
AL,35986,3450.0,215688.0,2041.0,130.0,0.009462742479878343,0.03768115942028986
AL,35987,1060.0,60675.0,498.0,30.0,0.008207663782447467,0.02830188679245283
AL,35989,1320.0,77186.0,664.0,50.0,0.008602596325758558,0.03787878787878788
AL,36003,740.0,43837.0,381.0,30.0,0.00869128818121678,0.04054054054054054
AL,36009,1070.0,66790.0,312.0,30.0,0.004671357987722713,0.028037383177570093
AL,36010,1960.0,93253.0,570.0,50.0,0.006112403890491459,0.025510204081632654
AL,36013,220.0,32278.0,405.0,30.0,0.012547245802094306,0.13636363636363635
AL,36016,1210.0,61474.0,334.0,20.0,0.005433191267853076,0.01652892561983471
AL,36022,6240.0,486854.0,5056.0,330.0,0.010385043565422077,0.052884615384615384
AL,36024,2780.0,212592.0,2795.0,170.0,0.013147249190938511,0.06115107913669065
AL,36025,1830.0,96675.0,908.0,70.0,0.00939229376777864,0.03825136612021858
AL,36026,470.0,43458.0,694.0,40.0,0.015969441759860096,0.0851063829787234
AL,36027,6110.0,337428.0,3761.0,230.0,0.011146081534431048,0.03764320785597381
AL,36029,410.0,29237.0,516.0,20.0,0.017648869583062558,0.04878048780487805
AL,36032,960.0,44038.0,357.0,30.0,0.008106635178709297,0.03125
AL,36033,1400.0,65291.0,145.0,20.0,0.002220826760196658,0.014285714285714285
AL,36037,5140.0,276183.0,3661.0,180.0,0.0132557036457711,0.03501945525291829
AL,36040,1380.0,53418.0,669.0,60.0,0.012523868358980119,0.043478260869565216
AL,36043,1520.0,130627.0,2220.0,110.0,0.016994955101165915,0.07236842105263158
AL,36049,2190.0,120530.0,1295.0,70.0,0.010744213058989463,0.0319634703196347
AL,36051,990.0,56532.0,325.0,30.0,0.005748956343309984,0.030303030303030304
AL,36052,410.0,50012.0,624.0,50.0,0.012477005518675519,0.12195121951219512
AL,36053,680.0,27240.0,174.0,20.0,0.006387665198237885,0.029411764705882353
AL,36054,6780.0,419545.0,5302.0,350.0,0.01263750014897091,0.051622418879056046
AL,36064,6090.0,780979.0,17533.0,1010.0,0.022450027465527243,0.16584564860426929
AL,36066,9880.0,742981.0,9293.0,610.0,0.012507722270152266,0.06174089068825911
AL,36067,11580.0,772717.0,11154.0,560.0,0.014434780132959414,0.04835924006908463
AL,36069,740.0,42380.0,199.0,20.0,0.004695611137328928,0.02702702702702703
AL,36075,790.0,42145.0,637.0,40.0,0.01511448570411674,0.05063291139240506
AL,36078,5730.0,371446.0,4845.0,200.0,0.013043618722506098,0.034904013961605584
AL,36079,4090.0,254663.0,2957.0,170.0,0.011611423724687136,0.04156479217603912
AL,36080,1100.0,90680.0,951.0,70.0,0.010487428319364799,0.06363636363636363
AL,36081,5530.0,355408.0,6213.0,250.0,0.017481317246657364,0.045207956600361664
AL,36083,2960.0,119214.0,1862.0,160.0,0.015618970926233496,0.05405405405405406
AL,36088,840.0,29954.0,222.0,30.0,0.007411364091607131,0.03571428571428571
AL,36089,2860.0,115664.0,1617.0,110.0,0.01398014939825702,0.038461538461538464
AL,36091,1610.0,94773.0,617.0,50.0,0.00651029301594336,0.031055900621118012
AL,36092,8990.0,573326.0,5232.0,400.0,0.00912569811939455,0.04449388209121246
AL,36093,5670.0,513002.0,7723.0,490.0,0.015054522204591796,0.08641975308641975
AL,36104,2470.0,123014.0,2060.0,120.0,0.01674606142390297,0.048582995951417005
AL,36105,3930.0,158387.0,1813.0,130.0,0.01144664650507933,0.03307888040712468
AL,36106,6350.0,559711.0,14799.0,630.0,0.02644043086521437,0.09921259842519685
AL,36107,2680.0,91111.0,756.0,40.0,0.008297571094598897,0.014925373134328358
AL,36108,6720.0,231003.0,1931.0,180.0,0.008359198798284005,0.026785714285714284
AL,36109,10810.0,592786.0,7088.0,490.0,0.011957097502302685,0.045328399629972246
AL,36110,4210.0,141595.0,1418.0,90.0,0.010014477912355662,0.021377672209026127
AL,36111,5380.0,512424.0,14557.0,480.0,0.028408115154637564,0.08921933085501858
AL,36116,17720.0,934685.0,14789.0,1070.0,0.01582244285507952,0.06038374717832957
AL,36117,22930.0,1969372.0,43127.0,2300.0,0.021898859128696865,0.1003052769297863
AL,36201,6050.0,221789.0,1542.0,120.0,0.006952554004030858,0.019834710743801654
AL,36203,8680.0,556039.0,9714.0,630.0,0.017469997608081447,0.07258064516129033
AL,36205,340.0,20058.0,130.0,20.0,0.006481204506929903,0.058823529411764705
